('port 1',TE,1,'port 1',1,'transmission')
1.952556e+14 3.255243e-06 -2.545282e+01
1.952296e+14 1.875872e-07 -2.786380e+01
1.952036e+14 3.518060e-06 -2.912168e+01
1.951776e+14 6.467151e-06 -2.944758e+01
1.951517e+14 8.476310e-06 -2.975609e+01
1.951257e+14 9.186743e-06 -3.005851e+01
1.950997e+14 8.434366e-06 -3.035852e+01
1.950738e+14 6.293886e-06 -3.066071e+01
1.950479e+14 3.079356e-06 -3.098492e+01
1.950219e+14 7.460231e-07 -3.408823e+01
1.949960e+14 4.486483e-06 -3.459697e+01
1.949701e+14 7.599277e-06 -3.489912e+01
1.949441e+14 9.530898e-06 -3.518311e+01
1.949182e+14 9.902272e-06 -3.545201e+01
1.948923e+14 8.531018e-06 -3.569367e+01
1.948664e+14 5.463834e-06 -3.586089e+01
1.948406e+14 1.457841e-06 -3.533083e+01
1.948147e+14 4.476212e-06 -3.366185e+01
1.947888e+14 8.934699e-06 -3.373554e+01
1.947629e+14 1.187839e-05 -3.392483e+01
1.947371e+14 1.285352e-05 -3.415860e+01
1.947112e+14 1.202984e-05 -3.442247e+01
1.946854e+14 9.890163e-06 -3.470191e+01
1.946595e+14 6.989459e-06 -3.496482e+01
1.946337e+14 3.904092e-06 -3.509246e+01
1.946079e+14 2.024409e-06 -3.445252e+01
1.945821e+14 3.779205e-06 -3.388569e+01
1.945562e+14 6.317472e-06 -3.408518e+01
1.945304e+14 8.567497e-06 -3.444985e+01
1.945046e+14 1.036956e-05 -3.487160e+01
1.944788e+14 1.168458e-05 -3.532256e+01
1.944531e+14 1.251248e-05 -3.579204e+01
1.944273e+14 1.287276e-05 -3.627471e+01
1.944015e+14 1.279632e-05 -3.676748e+01
1.943757e+14 1.232093e-05 -3.726830e+01
1.943500e+14 1.148857e-05 -3.777574e+01
1.943242e+14 1.034367e-05 -3.828874e+01
1.942985e+14 8.932023e-06 -3.880657e+01
1.942728e+14 7.300092e-06 -3.932884e+01
1.942470e+14 5.494622e-06 -3.985585e+01
1.942213e+14 3.562473e-06 -4.039012e+01
1.941956e+14 1.551164e-06 -4.095069e+01
1.941699e+14 5.067128e-07 -3.809492e+01
1.941442e+14 2.534075e-06 -3.877070e+01
1.941185e+14 4.508727e-06 -3.931631e+01
1.940928e+14 6.378946e-06 -3.985207e+01
1.940671e+14 8.098387e-06 -4.038463e+01
1.940414e+14 9.621133e-06 -4.091532e+01
1.940158e+14 1.090166e-05 -4.144441e+01
1.939901e+14 1.189513e-05 -4.197191e+01
1.939644e+14 1.255786e-05 -4.249778e+01
1.939388e+14 1.284822e-05 -4.302207e+01
1.939132e+14 1.272792e-05 -4.354512e+01
1.938875e+14 1.216411e-05 -4.406784e+01
1.938619e+14 1.113275e-05 -4.459246e+01
1.938363e+14 9.624514e-06 -4.512440e+01
1.938107e+14 7.657159e-06 -4.567809e+01
1.937850e+14 5.313225e-06 -4.630096e+01
1.937594e+14 2.960619e-06 -4.721405e+01
1.937339e+14 2.694636e-06 -4.888852e+01
1.937083e+14 5.307238e-06 -4.990848e+01
1.936827e+14 8.382230e-06 -5.050478e+01
1.936571e+14 1.111157e-05 -5.098278e+01
1.936315e+14 1.294779e-05 -5.140456e+01
1.936060e+14 1.331485e-05 -5.179034e+01
1.935804e+14 1.167511e-05 -5.215802e+01
1.935549e+14 7.790375e-06 -5.256599e+01
1.935293e+14 2.818924e-06 -5.359930e+01
1.935038e+14 6.298700e-06 -5.545856e+01
1.934783e+14 1.221392e-05 -5.588213e+01
1.934528e+14 1.570093e-05 -5.615318e+01
1.934272e+14 1.563506e-05 -5.639942e+01
1.934017e+14 1.206516e-05 -5.665293e+01
1.933762e+14 5.898362e-06 -5.696123e+01
1.933507e+14 1.804182e-06 -5.978897e+01
1.933253e+14 8.996393e-06 -6.039513e+01
1.932998e+14 1.483330e-05 -6.069274e+01
1.932743e+14 1.821622e-05 -6.097478e+01
1.932488e+14 1.861705e-05 -6.125767e+01
1.932234e+14 1.601946e-05 -6.154614e+01
1.931979e+14 1.087437e-05 -6.184570e+01
1.931725e+14 3.999139e-06 -6.219539e+01
1.931470e+14 3.628697e-06 -5.916208e+01
1.931216e+14 1.082134e-05 -5.952821e+01
1.930962e+14 1.661246e-05 -5.984345e+01
1.930708e+14 2.017766e-05 -6.015425e+01
1.930453e+14 2.100705e-05 -6.046561e+01
1.930199e+14 1.896094e-05 -6.077947e+01
1.929945e+14 1.428405e-05 -6.109865e+01
1.929691e+14 7.571977e-06 -6.143599e+01
1.929438e+14 5.045491e-07 -6.398243e+01
1.929184e+14 8.382665e-06 -6.511223e+01
1.928930e+14 1.552420e-05 -6.545050e+01
1.928676e+14 2.082138e-05 -6.577550e+01
1.928423e+14 2.354868e-05 -6.609818e+01
1.928169e+14 2.330099e-05 -6.642116e+01
1.927916e+14 2.004687e-05 -6.674620e+01
1.927662e+14 1.413636e-05 -6.707709e+01
1.927409e+14 6.264696e-06 -6.743711e+01
1.927156e+14 2.680612e-06 -6.439225e+01
1.926903e+14 1.147520e-05 -6.483733e+01
1.926650e+14 1.910786e-05 -6.517626e+01
1.926396e+14 2.457355e-05 -6.550637e+01
1.926143e+14 2.713310e-05 -6.583456e+01
1.925891e+14 2.639073e-05 -6.616293e+01
1.925638e+14 2.234871e-05 -6.649321e+01
1.925385e+14 1.541536e-05 -6.682957e+01
1.925132e+14 6.368962e-06 -6.720062e+01
1.924879e+14 3.808431e-06 -6.418367e+01
1.924627e+14 1.377906e-05 -6.460257e+01
1.924374e+14 2.240881e-05 -6.494371e+01
1.924122e+14 2.858804e-05 -6.527679e+01
1.923869e+14 3.148833e-05 -6.560792e+01
1.923617e+14 3.065484e-05 -6.593907e+01
1.923365e+14 2.607002e-05 -6.627190e+01
1.923113e+14 1.816790e-05 -6.661036e+01
1.922861e+14 7.799922e-06 -6.698018e+01
1.922608e+14 3.946991e-06 -6.395435e+01
1.922356e+14 1.555312e-05 -6.438941e+01
1.922105e+14 2.573592e-05 -6.473314e+01
1.921853e+14 3.320205e-05 -6.506815e+01
1.921601e+14 3.696108e-05 -6.540096e+01
1.921349e+14 3.643154e-05 -6.573357e+01
1.921097e+14 3.152192e-05 -6.606754e+01
1.920846e+14 2.265758e-05 -6.640627e+01
1.920594e+14 1.075230e-05 -6.676876e+01
1.920343e+14 3.005456e-06 -6.367504e+01
1.920091e+14 1.680429e-05 -6.418708e+01
1.919840e+14 2.921784e-05 -6.453425e+01
1.919589e+14 3.866873e-05 -6.487074e+01
1.919338e+14 4.391892e-05 -6.520456e+01
1.919086e+14 4.417873e-05 -6.553791e+01
1.918835e+14 3.921429e-05 -6.587225e+01
1.918584e+14 2.939614e-05 -6.621035e+01
1.918333e+14 1.568264e-05 -6.656496e+01
1.918083e+14 9.463835e-07 -6.898921e+01
1.917832e+14 1.736422e-05 -7.027159e+01
1.917581e+14 3.289614e-05 -7.062416e+01
1.917330e+14 4.526038e-05 -7.096206e+01
1.917080e+14 5.285950e-05 -7.129656e+01
1.916829e+14 5.458519e-05 -7.163024e+01
1.916579e+14 4.996481e-05 -7.196454e+01
1.916328e+14 3.924390e-05 -7.230166e+01
1.916078e+14 2.339218e-05 -7.264991e+01
1.915828e+14 4.102357e-06 -7.318086e+01
1.915577e+14 1.686889e-05 -7.006995e+01
1.915327e+14 3.674907e-05 -7.043254e+01
1.915077e+14 5.334331e-05 -7.077217e+01
1.914827e+14 6.453718e-05 -7.110722e+01
1.914577e+14 6.874380e-05 -7.144101e+01
1.914327e+14 6.510592e-05 -7.177505e+01
1.914077e+14 5.363102e-05 -7.211113e+01
1.913828e+14 3.523669e-05 -7.245468e+01
1.913578e+14 1.171968e-05 -7.285718e+01
1.913328e+14 1.466448e-05 -6.985409e+01
1.913079e+14 4.068892e-05 -7.023968e+01
1.912829e+14 6.348798e-05 -7.058184e+01
1.912580e+14 8.019163e-05 -7.091748e+01
1.912330e+14 8.848848e-05 -7.125130e+01
1.912081e+14 8.690339e-05 -7.158498e+01
1.911832e+14 7.501442e-05 -7.192005e+01
1.911583e+14 5.356572e-05 -7.226021e+01
1.911333e+14 2.446779e-05 -7.262786e+01
1.911084e+14 9.632457e-06 -6.957707e+01
1.910835e+14 4.455687e-05 -7.004300e+01
1.910586e+14 7.670409e-05 -7.038932e+01
1.910338e+14 1.020329e-04 -7.072578e+01
1.910089e+14 1.171032e-04 -7.105963e+01
1.909840e+14 1.194230e-04 -7.139294e+01
1.909591e+14 1.077960e-04 -7.172712e+01
1.909343e+14 8.255168e-05 -7.206486e+01
1.909094e+14 4.562818e-05 -7.241804e+01
1.908846e+14 2.315724e-06 -7.411848e+01
1.908597e+14 4.855791e-05 -7.612301e+01
1.908349e+14 9.557567e-05 -7.647659e+01
1.908101e+14 1.351378e-04 -7.681420e+01
1.907853e+14 1.619585e-04 -7.714812e+01
1.907604e+14 1.717923e-04 -7.748106e+01
1.907356e+14 1.619970e-04 -7.781444e+01
1.907108e+14 1.319742e-04 -7.815029e+01
1.906860e+14 8.342561e-05 -7.849570e+01
1.906612e+14 2.051795e-05 -7.895103e+01
1.906365e+14 5.148396e-05 -7.590765e+01
1.906117e+14 1.238972e-04 -7.627602e+01
1.905869e+14 1.887794e-04 -7.661544e+01
1.905622e+14 2.377104e-04 -7.694953e+01
1.905374e+14 2.633672e-04 -7.728206e+01
1.905126e+14 2.604834e-04 -7.761454e+01
1.904879e+14 2.267235e-04 -7.794846e+01
1.904632e+14 1.633456e-04 -7.828746e+01
1.904384e+14 7.558468e-05 -7.865353e+01
