.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.504934049065574e-06,0.08046300703935179,-0.03976445705498732,294.8507161908466,4.081627548401006e-12,245000306407.6129,-1.270071828911269e-06,20.93907091149947,-20.93907091149947
1.504965483391044e-06,0.07578870919157539,-0.04811966051904977,294.7440094248631,4.081367632658732e-12,245015908882.6234,-1.526670084789396e-05,20.93695663286269,-20.93695663286269
1.504996919029712e-06,0.07024392037483561,-0.05592530131591075,294.6373152052793,4.080650451417852e-12,245058970844.3522,-3.036152974269531e-05,20.93565411802669,-20.93565411802669
1.505028355981659e-06,0.06389413355692887,-0.06308972270284989,294.5306459382906,4.079504867372583e-12,245127786952.2566,-4.251958513738741e-05,20.93515544908171,-20.93515544908171
1.505059794246968e-06,0.05681472442655362,-0.06952969227292287,294.4240116174433,4.077999877840626e-12,245218251583.0574,-5.322272140979054e-05,20.93541529456878,-20.93541529456878
1.50509123382572e-06,0.04908967104596422,-0.07517123251257668,294.3174210412951,4.076783064343362e-12,245291442840.3778,-2.418436104121641e-05,20.93637478845969,-20.93637478845969
1.505122674717999e-06,0.04080865222222418,-0.07995341054921,294.2108503435328,4.075218088390071e-12,245385640304.4808,-7.536492221663198e-05,20.93778452412467,-20.93778452412467
1.505154116923886e-06,0.03207045697307681,-0.08381952815781925,294.1043415947133,4.072739465631745e-12,245534979204.6874,-8.229707453148395e-05,20.93976106861314,-20.93976106861314
1.505185560443465e-06,0.02297745852006512,-0.086727826228716,293.997900495798,4.070058992355062e-12,245696684465.3446,-8.819728323960801e-05,20.94221413938825,-20.94221413938825
1.505217005276816e-06,0.0136354044886717,-0.08864814263170015,293.8915318999101,4.06724317045201e-12,245866784475.7523,-9.089865813121117e-05,20.94505400719033,-20.94505400719033
1.505248451424023e-06,0.004151932713772581,-0.08956221094320825,293.785238030851,4.064386179839219e-12,246039612318.4236,-9.080822144737559e-05,20.94818059108092,-20.94818059108092
1.505279898885168e-06,-0.005364772385761337,-0.08946354480314704,293.6790188173926,4.061551165170855e-12,246211351115.1431,-8.94934624677045e-05,20.95148907230436,-20.95148907230436
1.505311347660333e-06,-0.01480713416096682,-0.08835711746688435,293.5728731817147,4.058795242019185e-12,246378528694.2724,-8.577087514328161e-05,20.9548832193339,-20.9548832193339
1.505342797749601e-06,-0.0240694450319098,-0.08625912152506975,293.4667980662082,4.056206257202865e-12,246535786542.9639,-7.887012545036107e-05,20.95827027177681,-20.95827027177681
1.505374249153053e-06,-0.03304905114442846,-0.08319656225544662,293.3607877998381,4.053846669059328e-12,246679285536.9747,-7.117663950967179e-05,20.96155660996947,-20.96155660996947
1.505405701870773e-06,-0.04164715780803697,-0.0792066243685404,293.254836059259,4.051746370960821e-12,246807156333.1499,-6.237627050229873e-05,20.96466439652105,-20.96466439652105
1.505437155902843e-06,-0.04976976268863832,-0.0743361441723049,293.148935610412,4.05035518979162e-12,246891927532.7672,-2.608253769424123e-05,20.96753065169501,-20.96753065169501
1.505468611249345e-06,-0.05733081294053183,-0.06864075981818973,293.0430566100169,4.049633818315731e-12,246935907013.9104,-1.978397631866635e-05,20.96998182605912,-20.96998182605912
1.505500067910362e-06,-0.06424785826243898,-0.06218416930123302,292.937193879258,4.048888904052377e-12,246981338262.7364,-2.757716615323054e-05,20.97200098987962,-20.97200098987962
1.505531525885975e-06,-0.07044421345487127,-0.05503840464976401,292.8313538279241,4.048236802797119e-12,247021122704.3469,-1.388168449125737e-05,20.97365544683586,-20.97365544683586
1.505562985176268e-06,-0.07585279907557953,-0.04728247271261067,292.7255251933465,4.047995744812698e-12,247035832802.307,-1.443649949533762e-06,20.97492393019981,-20.97492393019981
1.505594445781322e-06,-0.08041471009268639,-0.03900165105639643,292.6196977461238,4.048125003743117e-12,247027944807.8667,9.660610824101191e-06,20.97580734761321,-20.97580734761321
1.505625907701221e-06,-0.08407977785697175,-0.03028676571839119,292.5138623530315,4.048618528227508e-12,246997832230.3933,2.171195158412324e-05,20.97632779476168,-20.97632779476168
1.505657370936046e-06,-0.08680734273615591,-0.0212332994948962,292.4080091010736,4.049467434993305e-12,246946053043.5537,3.224965192829726e-05,20.97650695066512,-20.97650695066512
1.50568883548588e-06,-0.08856647872113198,-0.01194058605751752,292.3021293215018,4.050614009155038e-12,246876152045.0577,4.063055212343486e-05,20.97638134236377,-20.97638134236377
1.505720301350806e-06,-0.08933636366308828,-0.002510953321735567,292.1962161190375,4.052020854766929e-12,246790437621.6543,4.878970899522043e-05,20.97600505778342,-20.97600505778342
1.505751768530905e-06,-0.08910681510787195,0.006951372643173119,292.0902627802407,4.053663166692897e-12,246690452284.3793,5.559267821382798e-05,20.97543128390014,-20.97543128390014
1.505783237026261e-06,-0.08787844815473721,0.01634126154167707,291.9842637068098,4.055545661432283e-12,246575944023.9747,6.405028129937004e-05,20.97471784380283,-20.97471784380283
1.505814706836956e-06,-0.08566285468410563,0.02555401431912807,291.878211938695,4.05815830586882e-12,246417198302.4472,0.0001019902446467171,20.97391678047454,-20.97391678047454
1.505846177963072e-06,-0.08248289958254723,0.03448888387295595,291.7720762588743,4.060794809024056e-12,246257209987.0108,6.55611245171931e-05,20.97294977480248,-20.97294977480248
